Name,Hometown,High School
Ricky Kofoed,"Charlotte, N.C.",Charlotte Christian
Michael Queen,"Apex, N.C.",Northwood
Trey Ross,"Sophia, N.C.",Randleman
Collin Reed,"Boiling Springs, S.C.",Boiling Springs
Henry Pearson,"Ho-Ho-Kus, N.J.",Paramus Catholic
Chase Eighmy,"Waxhaw, N.C.",Cuthbertson
Dorian Pickett,"Beulaville, N.C.",East Duplin
Chris Willis,"Shelby, N.C.",Crest
Tommy Dawkins Jr.,"Concord, N.C.",Cox Mill
Chandler Staton,"Gainesville, Ga.",Gainesville
Luke Smith,"Lebanon, Tenn.",Friendship Christian
George Blackstock,"Eden, N.C.",Eden Morehead
Markell Clark,"Dacula, Ga.",Spain Park
Caleb Spurlin,"Galax, Va.",Galax
E.J. Scott,"Farmville, N.C.",Farmville Central
Jordon Earle,"West Palm Beach, Fla.",Forest Hill
